file	rows	columns	content	figure6_use	source_ids
source_data/Figure_full_a_external.csv	12	6	Counts and fractions of group genes in the published candidate list. The historical filename does not denote an enrichment analysis; no new enrichment ratio, P value or FDR is reported.	A list overlap	PATEL
source_data/Figure_full_a_function.csv	84	14	Twelve groups across seven CRISPR arms. Scores, reference bands, pooled-screen counts, sign agreement and correlation summaries are provided.	A CRISPR	WATTERSON;ZHOU
source_data/Figure_full_a_representation.csv	24	9	Tumor-minus-healthy and 3D-minus-2D contrasts divided by their reference-band half-widths, with outside-band and organ-consistency indicators.	A expression	TS;KANG;DEPMAP;NEXTGEN
source_data/Figure_full_b.csv	34	12	The 34 published kinome siRNA candidates with rescue Z scores and relative viability, joined to HT-29 CRISPR enrichment statistics.	B	WOZNICKI;WATTERSON
source_data/Figure_full_c_levels.csv	12	34	Sample-first aggregate scores, 95% conditional cluster-bootstrap intervals, expression contrasts, reference-band limits and organ sign counts.	C expression	TS;KANG;DEPMAP;NEXTGEN
source_data/Figure_full_c_weight.csv	12	3	Median absolute normalized CRISPR group score across seven arms and the number of arms outside their reference bands.	C CRISPR	WATTERSON;ZHOU
source_data/Graphical_abstract_brakes.csv	1	7	Auxiliary extract of the death-inhibitory module expression scores. The filename is retained for compatibility.	Auxiliary extract	TS;KANG;DEPMAP;NEXTGEN
source_data/Graphical_abstract_cohort.csv	9	9	Auxiliary nine-group summary of expression presence and score summaries. Despite its historical filename, this file does not contain cohort counts.	Auxiliary summary; not a Figure 6 input	TS;KANG;DEPMAP;NEXTGEN;WATTERSON;ZHOU
source_data/Graphical_abstract_genes.csv	67	15	All 67 gene assignments with stable analysis identifiers, full scientific labels and abbreviated figure labels.	Auxiliary extract	Study-defined gene sets
tables/IKM_bootstrap_rejection.csv	72	4	Accepted and rejected cluster-bootstrap draws for 72 statistics. Rows follow alphabetical group order, with four layers and two contrasts per group.	A and C	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_estimator_comparison.csv	12	13	Comparison of gene-first and sample-first aggregation for 12 groups and four expression layers.	Auxiliary estimator sensitivity	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_final_master_table.csv	12	9	Gene-first aggregate scores. This auxiliary estimator is not the source of the plotted conditional bootstrap intervals.	Auxiliary estimator sensitivity	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_final_master_table_CI.csv	12	34	Sample-first aggregate scores, 95% conditional cluster-bootstrap intervals, expression contrasts, reference-band limits and organ sign counts.	A and C	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_final_per_gene_by_organ.csv	402	7	Per-gene organ-level rank-difference scores for 67 genes in six organs and four expression layers.	Auxiliary gene-level data	TS;KANG;DEPMAP;NEXTGEN
tables/IKM_gene_membership_by_group.tsv	67	15	All 67 gene assignments with stable analysis identifiers, full scientific labels and abbreviated figure labels.	A and C	Study-defined gene sets
