орган,Dataset,образцов,пациентов,клеток,тип_рака,акцессия,source_reference,source_url
желудок,gc_GSE163558,2,2,428,STAD,GSE163558,GSE163558,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163558
кишка,crc_GSE166555,11,10,8573,CRC,GSE166555,GSE166555,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166555
кишка,crc_GSE188711,3,3,885,CRC,GSE188711,GSE188711,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188711
кишка,crc_HOLee_GSE132257,1,1,1624,CRC,GSE132257,GSE132257,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132257
кишка,crc_HOLee_GSE132465,5,5,1502,CRC,GSE132465,GSE132465,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132465
кишка,crc_HOLee_GSE144735,1,1,1366,CRC,GSE144735,GSE144735,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144735
кишка,crc_pan_blueprint,5,3,2205,CRC,"Qian et al., Cell Res (2020)","Qian et al., Cell Res (2020)",http://blueprint.lambrechtslab.org/
лёгкое,lu_HRA000154,6,6,2960,LC,HRA000154,"Xing. et al., Sci Adv (2021)",https://www.weizmann.ac.il/sites/3CA/
лёгкое,lu_adc_GSE123902,4,4,1774,LC,GSE123902,GSE123902,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123902
лёгкое,lu_adc_GSE131907,23,23,24703,LC,GSE131907,GSE131907,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131907
лёгкое,lu_adc_GSE146100,1,1,207,LC,GSE146100,GSE146100,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146100
лёгкое,lu_adc_codeocean,8,8,7582,LC,"Bischoff et al., Oncogene (2021)","Bischoff et al., Oncogene (2021)",https://codeocean.com/capsule/8321305/tree/v1
лёгкое,lu_nsclc_pan_blueprint_lung,13,6,6508,LC,"Qian et al., Cell Res (2020)","Qian et al., Cell Res (2020)",http://blueprint.lambrechtslab.org/#/dd41db1a-8f44-46be-99e7-2957b949e0e1/*/welcome
лёгкое,lu_sclc_GSE150766,1,1,482,LC,GSE150766,GSE150766,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150766
лёгкое,pan_GSE140819,3,1,2423,LC,GSE140819,GSE140819,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140819
молочная,br_GSE161529,36,28,69270,BRCA,GSE161529,GSE161529,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161529
молочная,br_GSE176078,17,17,20282,BRCA,GSE176078,GSE176078,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176078
молочная,br_pan_blueprint,8,8,5564,BRCA,"Qian et al., Cell Res (2020)","Qian et al., Cell Res (2020)",http://blueprint.lambrechtslab.org/
молочная,br_pdac_GSE179705,2,2,4312,BRCA,GSE179705,GSE179705,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179705
молочная,br_tnbc_PRJEB35405,3,3,3062,BRCA,PRJEB35405,"Wu et al., EMBO J (2020)",https://github.com/sunnyzwu/stromal_subclasses
молочная,br_tnbc_pan_GSE148673,7,7,8880,BRCA,GSE148673,GSE148673,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148673
молочная,pan_GSE140819,7,3,38760,BRCA,GSE140819,GSE140819,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140819
панкреас,pdac_GSE154778,7,7,6262,PAAD,GSE154778,GSE154778,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154778
панкреас,pdac_GSE155698,12,11,7747,PAAD,GSE155698,GSE155698,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155698
панкреас,pdac_GSE156405,6,6,11032,PAAD,GSE156405,GSE156405,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156405
панкреас,pdac_GSE214295,2,2,7715,PAAD,GSE214295,GSE214295,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214295
панкреас,pdac_PRJCA001063,13,13,7475,PAAD,PRJCA001063,"Peng et al., Cell Res (2019)",https://www.weizmann.ac.il/sites/3CA/
яичник,gyn_GSE173682,3,3,7894,OV,GSE173682,GSE173682,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173682
яичник,ov_GSE184880,4,4,4583,OV,GSE184880,GSE184880,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184880
яичник,ov_GSE213243,1,1,5601,OV,GSE213243,GSE213243,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213243
яичник,ov_hgs_GSE154600,2,2,4684,OV,GSE154600,GSE154600,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154600
яичник,ov_hgs_GSE158937,2,2,8296,OV,GSE158937,GSE158937,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158937
яичник,ov_hgstoc_pan_blueprint_ovary,4,3,3322,OV,"Olbrecht et al., Genome Med (2021)","Olbrecht et al., Genome Med (2021)",http://blueprint.lambrechtslab.org/#/dd41db1a-8f44-46be-99e7-2957b949e0e1/*/welcome
яичник,ov_meta_GSE165897,2,2,242,OV,GSE165897,GSE165897,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165897
яичник,ov_pan_blueprint_ovary,3,2,3323,OV,"Qian et al., Cell Res (2020)","Qian et al., Cell Res (2020)",http://blueprint.lambrechtslab.org/#/dd41db1a-8f44-46be-99e7-2957b949e0e1/*/welcome
яичник,pan_GSE140819,3,1,1519,OV,GSE140819,GSE140819,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140819
